movimentos,passos,distancia_ao_final
6,6,12
3,3,15
2,2,16
7,7,11
6,6,12
12,12,6
4,4,14
6,6,12
5,5,13
13,13,5
7,7,11
10,10,8
1,1,17
2,2,16
5,5,13
1,1,17
5,5,13
6,6,12
5,5,13
1,1,17
6,6,12
1,1,17
1,1,17
6,6,12
4,4,14
5,5,13
4,4,14
7,7,11
5,5,13
7,7,11
6,6,12
1,1,17
2,2,16
11,11,7
15,15,3
3,3,15
5,5,13
11,11,7
3,3,15
1,1,17
5,5,13
4,4,14
10,10,8
1,1,17
3,3,15
13,13,5
10,10,8
4,4,14
3,3,15
4,4,14
2,2,16
8,8,10
2,2,16
3,3,15
2,2,16
1,1,17
4,4,14
8,8,10
4,4,14
9,9,9
3,3,15
2,2,16
8,8,10
4,4,14
5,5,13
5,5,13
2,2,16
1,1,17
7,7,11
7,7,11
8,8,10
2,2,16
16,16,2
4,4,14
5,5,13
1,1,17
1,1,17
2,2,16
2,2,16
3,3,15
2,2,16
10,10,8
6,6,12
5,5,13
5,5,13
4,4,14
4,4,14
5,5,13
3,3,15
4,4,14
5,5,13
1,1,17
8,8,10
6,6,12
1,1,17
11,11,7
3,3,15
5,5,13
10,10,8
4,4,14
