movimentos,passos
2926,28
966,20
1616,22
2578,26
1236,20
2382,26
2030,24
1252,18
2000,22
1106,18
1228,20
2244,30
4252,36
1214,20
2978,30
2038,24
1456,22
2250,24
2528,32
2278,30
1458,20
1222,22
1202,22
1026,18
1020,18
1360,18
1236,22
1030,18
2160,28
988,20
3080,30
1358,22
2130,28
1272,20
2640,30
1248,18
1684,22
1286,20
2082,26
1538,20
2414,26
2368,28
3034,30
2034,22
1454,18
2700,30
1934,22
3140,34
1938,26
810,18
2114,26
1768,22
2054,24
1896,24
3236,34
1768,26
2146,28
1162,24
1746,20
2150,28
1170,20
1164,22
1502,26
1078,20
1564,22
2262,24
2364,24
1354,24
1998,22
1892,22
2388,28
1856,24
1314,20
2344,24
2792,32
1218,22
1588,28
2616,30
2616,28
1782,24
1186,20
1964,24
1846,22
1714,24
1722,26
1296,24
1966,24
2588,26
1368,20
2250,24
1144,22
1298,22
3512,36
3488,34
1384,18
1588,20
1004,18
2508,26
1494,24
2240,24
