movimentos,passos
1752,22
1820,24
1466,20
1124,20
2084,24
1858,22
1142,18
2742,26
1924,22
1340,18
1744,24
1976,24
2144,24
1418,20
1224,24
1240,18
1640,24
1034,20
1658,22
1868,24
1324,22
1026,20
2270,26
1154,18
2350,26
1316,20
1854,22
1488,20
2104,22
1010,18
1070,18
1938,28
1160,20
1572,22
1936,24
1254,20
3232,32
1584,22
1796,22
1614,24
2070,24
1046,18
2130,22
1956,26
1602,24
1594,22
2870,30
1714,20
1244,20
1438,22
2458,26
2028,28
2122,26
1300,18
1838,24
1516,20
1720,22
1750,24
2616,30
2352,32
1060,18
1202,18
1576,20
1368,22
1706,28
1596,24
2314,24
1554,20
1058,18
1798,22
1996,26
2898,30
1242,20
2966,32
2054,22
1198,18
1340,26
1892,22
2494,26
1824,24
2210,24
2464,26
2450,28
1904,24
3820,38
1586,24
954,18
1944,24
1784,28
1086,18
1204,20
2366,30
1300,20
1180,18
1820,24
2182,24
1306,20
2294,24
1832,22
1644,24
