movimentos,passos
84,34
100,24
66,18
90,18
50,36
32,20
72,30
88,24
112,18
116,32
126,28
104,30
104,28
50,22
34,22
108,26
144,20
126,24
74,50
120,20
122,20
116,26
118,32
100,36
72,34
38,26
98,26
124,22
140,28
96,22
70,24
108,36
90,20
60,24
114,30
38,26
58,24
46,30
86,22
144,26
124,28
82,18
154,22
62,28
166,24
104,40
92,20
144,24
70,26
54,24
128,38
44,34
156,28
162,26
146,20
108,24
64,28
118,18
126,22
80,24
50,24
96,22
142,28
84,30
96,24
54,28
50,26
148,20
138,24
130,22
148,18
124,20
78,20
72,24
104,24
100,22
146,28
134,40
138,24
38,32
126,18
132,26
80,34
78,26
118,20
100,20
132,28
168,22
160,26
104,28
140,24
126,18
86,22
42,28
118,24
64,22
120,28
142,26
140,20
44,24
