movimentos,passos
34,18
100,0
96,22
94,18
90,20
100,0
40,20
84,32
42,24
88,24
100,0
100,0
72,22
100,0
76,20
44,22
68,24
100,0
100,0
100,0
100,0
100,0
100,0
100,0
82,28
84,28
100,0
26,24
40,18
100,0
100,0
100,0
80,26
34,18
100,0
80,34
86,18
100,0
100,0
100,0
90,32
86,30
44,30
92,24
42,18
100,0
68,20
50,30
32,22
100,0
52,24
70,32
26,20
44,32
100,0
100,0
32,22
70,26
100,0
58,18
74,36
70,24
100,0
100,0
72,30
66,20
100,0
54,30
94,34
100,0
100,0
62,36
100,0
100,0
54,24
86,26
50,24
100,0
100,0
100,0
100,0
42,28
100,0
100,0
98,18
68,26
100,0
100,0
100,0
100,0
40,26
64,40
78,24
100,0
54,20
100,0
48,34
100,0
54,36
100,0
